isin,Symbol,market,Name,Sector,Industry,IndustryCode
MHY2106R1100,LPG,NYSE,Dorian LPG Ltd,,오일 및 가스 장비 및 서비스,501030
CNE100001526,002594,SZSE,BYD Co Ltd Class A,,자동차 및 자동차 부품,531010
US29414B1044,EPAM,S&P500,EPAM Systems,Information Technology,IT Consulting & Other Services,
US29414B1044,EPAM,NYSE,Epam Systems Inc,,소프트웨어 및 IT서비스,572010
US5906721015,MSB,NYSE,Mesabi Trust,,메탈&마이닝,512010
US5906721015,MSB,HOSE,Vietnam Maritime Commercial Joint Stock Bank,,은행,551010
CNE100002BR3,002812,SZSE,Yunnan Energy New Material Co Ltd Class A,,화학,511010
US1551231020,CET,AMEX,Central Securities Closed Fund,,다양한 금융서비스,555010
CNE100003LF5,600989,SSE,Ningxia Baofeng Energy Group Co Ltd Class A,,화학,511010
CNE100001QQ5,000333,SZSE,Midea Group Co Ltd Class A,,가정용품,532040
CNE0000014W7,600276,SSE,Jiangsu Hengrui Pharmaceuticals Co Ltd Class A,,제약,562010
US24664T1034,DKL,NYSE,Delek Logistics Partners Common Units,,오일 및 가스 장비 및 서비스,501030
CNE000001DZ5,600392,SSE,Shenghe Resources Holding Co Ltd Class A,,메탈&마이닝,512010
MHY622674098,NMM,NYSE,Navios Maritime Partners Units,,화물 및 물류 서비스,524050
US9497461015,WFC,S&P500,Wells Fargo,Financials,Diversified Banks,
US9497461015,WFC,NYSE,Wells Fargo & Co,,은행,551010
US03938L2034,MT,NYSE,ArcelorMittal SA ADR,,메탈&마이닝,512010
US03938L2034,MTN,NYSE,Vail Resorts Inc,,호텔 및 엔터테인먼트,533010
US8308791024,SKYW,NASDAQ,SkyWest Inc,,운송업,524060
US00402L1070,ASO,NASDAQ,Academy Sports and Outdoors Inc,,전문품 상점,534030
US65441V1017,NINE,NYSE,Nine Energy Service Inc,,오일 및 가스 장비 및 서비스,501030
US5010441013,KR,S&P500,Kroger,Consumer Staples,Food Retail,
US5010441013,KR,NYSE,Kroger Co,,식품 및 약품소매,543010
US83192H1068,SDC,NASDAQ,SmileDirectClub Inc Class A,,헬스케어 장비 및 용품,561010
US30205M1018,XCUR,NASDAQ,Exicure Inc,,생명과학 및 메디컬 리서치,562020
US6840233026,OGEN,AMEX,Oragenics Inc,,생명과학 및 메디컬 리서치,562020
NL0010872495,PRQR,NASDAQ,ProQR Therapeutics NV,,생명과학 및 메디컬 리서치,562020
US46323Q1058,IRNT,NYSE,IronNet Inc,,소프트웨어 및 IT서비스,572010
US29415J1060,NVNO,NASDAQ,enVVeno Medical Corp,,생명과학 및 메디컬 리서치,562020
US5398301094,LMT,S&P500,Lockheed Martin,Industrials,Aerospace & Defense,
US5398301094,LMT,NYSE,Lockheed Martin Corp,,우주항공 및 국방,521010
CA09088U1093,BGI,AMEX,Birks Group Inc Class A,,섬유 및 의류,532020
KYG3932F1063,EPOW,NASDAQ,Sunrise New Energy Co Ltd,,전문 및 상업 서비스,522030
CA91702V1013,UROY,NASDAQ,Uranium Royalty Corp,,우라늄,503010
US85571B1052,STWD,NYSE,Starwood Property Trust Inc,,주택 및 상업용 리츠,601020
US09229E2046,BLBX,NASDAQ,Blackboxstocks Inc,,소프트웨어 및 IT서비스,572010
US5128071082,LRCX,S&P500,Lam Research,Information Technology,Semiconductor Equipment,
US5128071082,LRCX,NASDAQ,Lam Research Corp,,반도체 및 반도체 장비,571010
US57778K1051,MAXR,NYSE,Maxar Technologies Inc,,우주항공 및 국방,521010
US6174464486,MS,S&P500,Morgan Stanley,Financials,Investment Banking & Brokerage,
US6174464486,MS,NYSE,Morgan Stanley,,투자은행 및 서비스,551020
US6174464486,MSN,AMEX,Emerson Radio Corp,,가정용품,532040
US6174464486,MSN,HOSE,Masan Group Corp,,식품 및 담배,541020
US70261F1030,KTTA,NASDAQ,Pasithea Therapeutics Corp,,생명과학 및 메디컬 리서치,562020
KYG592901097,MDJH,NASDAQ,MDJM Ltd,,부동산 운영 관리,601010
US4627261005,IRBT,NASDAQ,iRobot Corp,,전자 장비 및 부품,571040
US48238T1097,KAR,NYSE,KAR Auction Services Inc,,전문품 상점,534030
US58936H1095,MFH,NASDAQ,Mercurity Fintech Holding Inc ADR,,핀테크,573010
KYG0369L1014,ANGH,NASDAQ,Anghami Inc,,소프트웨어 및 IT서비스,572010
US29280W1099,NRGV,NYSE,Energy Vault Holdings Inc,,"건설장비 및 대형차, 기차, 배",521020
US36850R2040,GLS,NYSE,Gelesis Holdings Inc,,제약,562010
US67080T1088,NVCT,NASDAQ,Nuvectis Pharma Inc,,생명과학 및 메디컬 리서치,562020
US9311421039,WMT,S&P500,Walmart,Consumer Staples,Hypermarkets & Super Centers,
US9311421039,WMT,NYSE,Walmart Inc,,식품 및 약품소매,543010
US9026531049,UDR,S&P500,"UDR, Inc.",Real Estate,Residential REITs,
US9026531049,UDR,NYSE,UDR Inc,,주택 및 상업용 리츠,601020
US8621211007,STOR,NYSE,STORE Capital Corp,,주택 및 상업용 리츠,601020
US68622V1061,OGN,S&P500,Organon & Co.,Health Care,Pharmaceuticals,
US68622V1061,OGN,NYSE,Organon & Co,,제약,562010
US7443201022,PRU,S&P500,Prudential Financial,Financials,Life & Health Insurance,
US7443201022,PRU,NYSE,Prudential Financial Inc,,보험,553010
US7443201022,PLL,NASDAQ,Piedmont Lithium Inc,,메탈&마이닝,512010
US0556221044,BP,NYSE,BP PLC ADR,,오일 및 가스,501020
US05352A1007,AVTR,NYSE,Avantor Inc,,헬스케어 장비 및 용품,561010
CA7800871021,RY,NYSE,Royal Bank of Canada,,은행,551010
CA7800871021,RYN,NYSE,Rayonier Inc,,주택 및 상업용 리츠,601020
CA87971M1032,TU,NYSE,Telus Corp,,통신 서비스,574010
US8825081040,TXN,S&P500,Texas Instruments,Information Technology,Semiconductors,
US8825081040,TXN,NASDAQ,Texas Instruments Inc,,반도체 및 반도체 장비,571010
US4282911084,HXL,NYSE,Hexcel Corp,,우주항공 및 국방,521010
US4601461035,IP,S&P500,International Paper,Materials,Paper Packaging,
US4601461035,IP,NYSE,International Paper Co,,용기 및 포장,513020
US0200021014,ALL,S&P500,Allstate,Financials,Property & Casualty Insurance,
US0200021014,ALL,NYSE,Allstate Corp,,보험,553010
US2605571031,DOW,S&P500,Dow Inc.,Materials,Commodity Chemicals,
US2605571031,DOW,NYSE,Dow Inc,,화학,511010
US2193501051,GLW,S&P500,Corning Inc.,Information Technology,Electronic Components,
US2193501051,GLW,NYSE,Corning Inc,,전자 장비 및 부품,571040
US14448C1045,CARR,S&P500,Carrier Global,Industrials,Building Products,
US14448C1045,CARR,NYSE,Carrier Global Corp,,"건설장비 및 대형차, 기차, 배",521020
